"h";"date";"prediction"
1;"26.09.2021";689.33708288704
2;"27.09.2021";462.480593006776
3;"28.09.2021";914.060108039807
4;"29.09.2021";1107.66575773265
5;"30.09.2021";1165.3149790042
6;"01.10.2021";1055.6258452048
7;"02.10.2021";1170.25624370514
8;"03.10.2021";886.342742022468
9;"04.10.2021";596.089907679956
10;"05.10.2021";1175.83382236235
11;"06.10.2021";1417.63257848779
12;"07.10.2021";1478.09347841333
13;"08.10.2021";1360.84940441929
14;"09.10.2021";1503.40099106652
15;"10.10.2021";1142.52907909822
16;"11.10.2021";770.816171764743
17;"12.10.2021";1514.32254937947
18;"13.10.2021";1822.57929232223
19;"14.10.2021";1897.27089322954
20;"15.10.2021";1753.46078110558
21;"16.10.2021";1935.33657762512
22;"17.10.2021";1474.54319265912
23;"18.10.2021";998.037102675124
24;"19.10.2021";1951.90355351859
25;"20.10.2021";2346.55573270947
26;"21.10.2021";2442.06658116704
27;"22.10.2021";2260.21026946364
28;"23.10.2021";2493.39746509563
29;"24.10.2021";1904.1797911771
30;"25.10.2021";1292.95093054262
