"h";"date";"prediction"
1;"06.08.2020";8.94925278890325
2;"07.08.2020";6.24840370561273
3;"08.08.2020";6.67840988317771
4;"09.08.2020";6.84803383408733
5;"10.08.2020";4.49946087683017
6;"11.08.2020";7.48785201001488
7;"12.08.2020";9.69307710917736
8;"13.08.2020";8.85112072890588
9;"14.08.2020";7.05908818519878
10;"15.08.2020";6.69110659496933
11;"16.08.2020";6.8357464149861
12;"17.08.2020";4.7964835290436
13;"18.08.2020";7.3782398155518
14;"19.08.2020";9.2158197235406
15;"20.08.2020";8.5195770835434
16;"21.08.2020";7.015224514911
17;"22.08.2020";6.70194558976954
18;"23.08.2020";6.82528075778664
19;"24.08.2020";5.05932200019092
20;"25.08.2020";7.28563439291829
21;"26.08.2020";8.82190865260987
22;"27.08.2020";8.24368523684978
23;"28.08.2020";6.97796725129874
24;"29.08.2020";6.71119707856116
25;"30.08.2020";6.81636530612876
26;"31.08.2020";5.29056730556331
27;"01.09.2020";7.20729215963166
28;"02.09.2020";8.4953091555564
29;"03.09.2020";8.01331058772942
30;"04.09.2020";6.94630343427116
