"h";"date";"prediction"
1;"21.10.2020";10617.5228055324
2;"22.10.2020";12192.3432808316
3;"23.10.2020";12032.489034812
4;"24.10.2020";13721.9247248777
5;"25.10.2020";12544.3599316309
6;"26.10.2020";11735.5073800838
7;"27.10.2020";13424.3259109524
8;"28.10.2020";14770.6253083704
9;"29.10.2020";16345.4457836695
10;"30.10.2020";16185.59153765
11;"31.10.2020";17875.0272277157
12;"01.11.2020";16697.4624344688
13;"02.11.2020";15888.6098829217
14;"03.11.2020";17577.4284137903
15;"04.11.2020";18923.7278112084
16;"05.11.2020";20498.5482865075
17;"06.11.2020";20338.694040488
18;"07.11.2020";22028.1297305537
19;"08.11.2020";20850.5649373068
20;"09.11.2020";20041.7123857597
21;"10.11.2020";21730.5309166283
22;"11.11.2020";23076.8303140463
23;"12.11.2020";24651.6507893455
24;"13.11.2020";24491.7965433259
25;"14.11.2020";26181.2322333917
26;"15.11.2020";25003.6674401448
27;"16.11.2020";24194.8148885977
28;"17.11.2020";25883.6334194663
29;"18.11.2020";27229.9328168843
30;"19.11.2020";28804.7532921834
