"h";"date";"prediction";"lower80%";"upper80%";"lower95%";"upper95%"
1;"26.09.2021";658.635629876399;477.858798511131;839.412461241668;382.161324634824;935.109935117975
2;"27.09.2021";409.193218252438;281.480148518714;536.906287986161;213.872933245584;604.513503259291
3;"28.09.2021";822.673006895013;536.745828319914;1108.60018547011;385.385122992972;1259.96089079705
4;"29.09.2021";1010.09695510679;624.822626113826;1395.37128409976;420.870716150768;1599.32319406281
5;"30.09.2021";987.249486695533;578.442537402362;1396.0564359887;362.033210748171;1612.4657626429
6;"01.10.2021";870.732948418982;482.550855041531;1258.91504179643;277.059667594067;1464.4062292439
7;"02.10.2021";955.905531803054;500.147564692136;1411.66349891397;258.883870544351;1652.92719306176
8;"03.10.2021";692.368857596786;320.388040381143;1064.34967481243;123.473290470218;1261.26442472335
9;"04.10.2021";428.847609885028;186.139270982211;671.555948787845;57.6572373814349;800.037982388621
10;"05.10.2021";859.775055091368;348.745555100335;1370.8045550824;78.222878847643;1641.32723133509
11;"06.10.2021";1052.9210419075;397.411316380332;1708.43076743466;50.405428731209;2055.43665508378
12;"07.10.2021";1026.6423142746;358.758473867506;1694.5261546817;5.20212548443988;2048.08250306476
13;"08.10.2021";903.47068268301;290.581627934738;1516.35973743128;-33.8622394729069;1840.80360483893
14;"09.10.2021";989.810165882619;290.954846729765;1688.66548503547;-78.9968121352855;2058.61714390052
15;"10.10.2021";715.915238088573;172.794813959948;1259.0356622172;-114.715771368983;1546.54624754613
16;"11.10.2021";442.656344190456;94.8908062238835;790.421882157028;-89.2051491775665;974.517837558478
17;"12.10.2021";886.01905144175;166.043917056601;1605.9941858269;-215.087896650201;1987.1259995337
18;"13.10.2021";1083.42577657219;173.850166741418;1993.00138640295;-307.650075866714;2474.50162901109
19;"14.10.2021";1054.90747619799;140.86445970387;1968.95049269211;-343.000685138868;2452.81563753484
20;"15.10.2021";927.13775536006;98.8343049980956;1755.44120572203;-339.643055203595;2193.91856592372
21;"16.10.2021";1014.51151634129;80.8166369164163;1948.20639576617;-413.451575759927;2442.47460844251
22;"17.10.2021";733.170444762734;21.8316368506878;1444.50925267478;-354.728381782568;1821.06927130804
23;"18.10.2021";452.855973952879;1.36388306848914;904.348064837269;-237.641592613663;1143.35354051942
24;"19.10.2021";905.561389973432;-21.5640227394952;1832.68680268636;-512.354569808469;2323.47734975533
25;"20.10.2021";1106.32949672187;-56.0945542095171;2268.75354765325;-671.444676274824;2884.10366971856
26;"21.10.2021";1076.3093969639;-83.5924862485183;2236.21128017631;-697.60745337403;2850.22624730183
27;"22.10.2021";945.212499068561;-98.9701095855344;1989.39510772266;-651.726993081655;2542.15199121878
28;"23.10.2021";1033.54119674363;-136.25379980758;2203.33619329483;-755.505864785422;2822.58825827267
29;"24.10.2021";746.549918273615;-135.240896662147;1628.34073320938;-602.032757319214;2095.13259386644
30;"25.10.2021";460.833242223742;-96.0204292573386;1017.68691370482;-390.800956590581;1312.46744103807
