"h";"date";"prediction"
1;"06.08.2020";10.3890111404889
2;"07.08.2020";9.90718148377238
3;"08.08.2020";7.26660592925191
4;"09.08.2020";5.33973196610273
5;"10.08.2020";6.27361314737096
6;"11.08.2020";11.1490287675294
7;"12.08.2020";11.9788023966586
8;"13.08.2020";10.3890111404889
9;"14.08.2020";9.90718148377238
10;"15.08.2020";7.26660592925191
11;"16.08.2020";5.33973196610273
12;"17.08.2020";6.27361314737096
13;"18.08.2020";11.1490287675294
14;"19.08.2020";11.9788023966586
15;"20.08.2020";10.3890111404889
16;"21.08.2020";9.90718148377238
17;"22.08.2020";7.26660592925191
18;"23.08.2020";5.33973196610273
19;"24.08.2020";6.27361314737096
20;"25.08.2020";11.1490287675294
21;"26.08.2020";11.9788023966586
22;"27.08.2020";10.3890111404889
23;"28.08.2020";9.90718148377238
24;"29.08.2020";7.26660592925191
25;"30.08.2020";5.33973196610273
26;"31.08.2020";6.27361314737096
27;"01.09.2020";11.1490287675294
28;"02.09.2020";11.9788023966586
29;"03.09.2020";10.3890111404889
30;"04.09.2020";9.90718148377238
