"h";"date";"prediction"
1;"26.09.2021";4.91118331292678
2;"27.09.2021";4.81270484816325
3;"28.09.2021";16.9044900410562
4;"29.09.2021";22.6863085146156
5;"30.09.2021";15.8171818325934
6;"01.10.2021";15.3922429832937
7;"02.10.2021";19.739785859505
8;"03.10.2021";7.15446016562323
9;"04.10.2021";6.92143939326827
10;"05.10.2021";18.8867515601256
11;"06.10.2021";24.549682327647
12;"07.10.2021";17.5687983240043
13;"08.10.2021";17.0388048870435
14;"09.10.2021";21.2875939077704
15;"10.10.2021";8.60943719917373
16;"11.10.2021";8.28915302580292
17;"12.10.2021";20.1724354832981
18;"13.10.2021";25.7582563383051
19;"14.10.2021";18.7048871502798
20;"15.10.2021";18.1067558853322
21;"16.10.2021";22.2914936983218
22;"17.10.2021";9.55312730394827
23;"18.10.2021";9.17624456843612
24;"19.10.2021";21.0063230074228
25;"20.10.2021";26.5421307971086
26;"21.10.2021";19.4417481170024
27;"22.10.2021";18.7994230314312
28;"23.10.2021";22.9426175832238
29;"24.10.2021";10.1651995176768
30;"25.10.2021";9.75160726592785
