h;date;prediction
1;06.08.2020;640,2550913
2;07.08.2020;680,8932823
3;08.08.2020;688,1113665
4;09.08.2020;669,7657405
5;10.08.2020;618,10946
6;11.08.2020;685,7393585
7;12.08.2020;668,7636662
8;13.08.2020;675,9368826
9;14.08.2020;717,4403196
10;15.08.2020;723,6949026
11;16.08.2020;703,1438806
12;17.08.2020;647,8041796
13;18.08.2020;717,5057507
14;19.08.2020;698,6444266
15;20.08.2020;705,0741117
16;21.08.2020;747,2841241
17;22.08.2020;752,7519534
18;23.08.2020;730,4000609
19;24.08.2020;672,0525488
20;25.08.2020;743,4458514
21;26.08.2020;723,0447668
22;27.08.2020;728,867318
23;28.08.2020;771,6543417
24;29.08.2020;776,4797422
25;30.08.2020;752,6572983
26;31.08.2020;691,8536501
27;01.09.2020;764,6284398
28;02.09.2020;742,9700192
29;03.09.2020;748,2968131
30;04.09.2020;791,5550513
