"h";"date";"prediction"
1;"06.08.2020";638.489688076128
2;"07.08.2020";642.658577442879
3;"08.08.2020";646.82746680963
4;"09.08.2020";650.996356176381
5;"10.08.2020";655.165245543132
6;"11.08.2020";659.334134909883
7;"12.08.2020";663.503024276634
8;"13.08.2020";667.671913643385
9;"14.08.2020";671.840803010136
10;"15.08.2020";676.009692376887
11;"16.08.2020";680.178581743638
12;"17.08.2020";684.347471110389
13;"18.08.2020";688.51636047714
14;"19.08.2020";692.685249843891
15;"20.08.2020";696.854139210642
16;"21.08.2020";701.023028577393
17;"22.08.2020";705.191917944145
18;"23.08.2020";709.360807310896
19;"24.08.2020";713.529696677647
20;"25.08.2020";717.698586044398
21;"26.08.2020";721.867475411149
22;"27.08.2020";726.0363647779
23;"28.08.2020";730.205254144651
24;"29.08.2020";734.374143511402
25;"30.08.2020";738.543032878153
26;"31.08.2020";742.711922244904
27;"01.09.2020";746.880811611655
28;"02.09.2020";751.049700978406
29;"03.09.2020";755.218590345157
30;"04.09.2020";759.387479711908
