"h";"date";"prediction";"lower80%";"upper80%";"lower95%";"upper95%"
1;"21.10.2020";9290.81738657695;8897.69146526476;9683.94330788915;8689.583173396;9892.05159975791
2;"22.10.2020";9290.81738657695;8734.88143937491;9846.753333779;8440.58672592919;10141.0480472247
3;"23.10.2020";9290.81738657695;8609.94914324694;9971.68562990697;8249.51926715497;10332.1155059989
4;"24.10.2020";9290.81738657695;8504.6250741246;10077.0096990293;8088.44000375658;10493.1947693973
5;"25.10.2020";9290.81738657695;8411.83209685758;10169.8026762963;7946.5253915386;10635.1093816153
6;"26.10.2020";9290.81738657695;8327.94048534455;10253.6942878094;7818.22424346837;10763.4105296855
7;"27.10.2020";9290.81738657695;8250.79396649893;10330.840806655;7700.23882443781;10881.3959487161
8;"28.10.2020";9290.81738657695;8178.98758768925;10402.6471854647;7590.42044481811;10991.2143283358
9;"29.10.2020";9290.81738657695;8111.54545479933;10470.0893183546;7487.27660335384;11094.3581698001
10;"30.10.2020";9290.81738657695;8047.75701939344;10533.8777537605;7389.72060998843;11191.9141631655
11;"31.10.2020";9290.81738657695;7987.08587133071;10594.5489018232;7296.93209620504;11284.7026769489
12;"01.11.2020";9290.81738657695;7929.1152711236;10652.5195020303;7208.27371395741;11373.3610591965
13;"02.11.2020";9290.81738657695;7873.51380631829;10708.1209668356;7123.23861163614;11458.3961615178
14;"03.11.2020";9290.81738657695;7820.01276801;10761.6220051439;7041.41583443467;11540.2189387192
15;"04.11.2020";9290.81738657695;7768.39070086044;10813.2440722935;6962.46669564005;11619.1680775139
16;"05.11.2020";9290.81738657695;7718.46252816692;10863.172244987;6886.10814486132;11695.5266282926
17;"06.11.2020";9290.81738657695;7670.07169765796;10911.5630754959;6812.10075606051;11769.5340170934
18;"07.11.2020";9290.81738657695;7623.08438170676;10958.5503914471;6740.23985754456;11841.3949156093
19;"08.11.2020";9290.81738657695;7577.38511102089;11004.249662133;6670.34885426995;11911.285918884
20;"09.11.2020";9290.81738657695;7532.87343118443;11048.7613419695;6602.27411446519;11979.3606586887
21;"10.11.2020";9290.81738657695;7489.46130359808;11092.1734695558;6535.88099471168;12045.7537784422
22;"11.11.2020";9290.81738657695;7447.07105774838;11134.5637154055;6471.05070820978;12110.5840649441
23;"12.11.2020";9290.81738657695;7405.63375826571;11176.0010148882;6407.67782740954;12173.9569457444
24;"13.11.2020";9290.81738657695;7365.08788848108;11216.5468846728;6345.66827068447;12235.9665024694
25;"14.11.2020";9290.81738657695;7325.37827858595;11256.256494568;6284.93766309357;12296.6971100603
26;"15.11.2020";9290.81738657695;7286.45522503919;11295.1795481147;6225.40998963039;12356.2247835235
27;"16.11.2020";9290.81738657695;7248.27376109714;11333.3610120568;6167.01647959505;12414.6182935589
28;"17.11.2020";9290.81738657695;7210.79304792798;11370.8417252259;6109.69467538407;12471.9400977698
29;"18.11.2020";9290.81738657695;7173.97586280717;11407.6589103467;6053.38764975279;12528.2471234011
30;"19.11.2020";9290.81738657695;7137.78816612038;11443.8466070335;5998.04334360352;12583.5914295504
