"h";"date";"prediction"
1;"16.03.2021";16194.2306218623
2;"17.03.2021";29732.6254091935
3;"18.03.2021";31760.9476731711
4;"19.03.2021";28156.6947904108
5;"20.03.2021";28229.9228779547
6;"21.03.2021";22166.3222525824
7;"22.03.2021";11263.6855929281
8;"23.03.2021";16491.1998293788
9;"24.03.2021";30277.8085917012
10;"25.03.2021";32343.2664208338
11;"26.03.2021";28672.8819063234
12;"27.03.2021";28747.4026565709
13;"28.03.2021";22572.6117327631
14;"29.03.2021";11470.1193586367
15;"30.03.2021";16792.9868106743
16;"31.03.2021";30831.8364326289
17;"01.04.2021";32935.0323664405
18;"02.04.2021";29197.4434092615
19;"03.04.2021";29273.2778638089
20;"04.04.2021";22985.4927801832
21;"05.04.2021";11679.9022964105
22;"06.04.2021";17099.6706079012
23;"07.04.2021";31394.8540405484
24;"08.04.2021";33536.4005039128
25;"09.04.2021";29730.5166921369
26;"10.04.2021";29807.6862376847
27;"11.04.2021";23405.07353806
28;"12.04.2021";11893.0893537204
29;"13.04.2021";17411.3315586036
30;"14.04.2021";31967.0089021608
