"h";"date";"prediction";"lower80%";"upper80%";"lower95%";"upper95%"
1;"16.03.2021";10901.1195831128;8512.16159445702;13290.0775717685;7247.52362628153;14554.715539944
2;"17.03.2021";10905.602246368;7527.10546987426;14284.0990228617;5738.63730961304;16072.5671831229
3;"18.03.2021";10910.0849096232;6772.15037677505;15048.0194424713;4581.66015262135;17238.509666625
4;"19.03.2021";10914.5675728784;6136.29324276812;15692.8419029886;3606.82760590441;18222.3075398523
5;"20.03.2021";10919.0502361336;5576.53671627313;16261.563755994;2748.38089486908;19089.719577398
6;"21.03.2021";10923.5328993888;5070.82944537773;16776.2363533998;1972.59538703036;19874.4704117472
7;"22.03.2021";10928.015562644;4606.07229177807;17249.9588335099;1259.43767913368;20596.5934461543
8;"23.03.2021";10932.4982258992;4173.73074784476;17691.2657039536;595.855368116141;21269.1410836822
9;"24.03.2021";10936.9808891544;3767.87696036221;18106.0848179466;-27.2174151769432;21901.1791934857
10;"25.03.2021";10941.4635524096;3384.19507812264;18498.7320266965;-616.381195576003;22499.3083003952
11;"26.03.2021";10945.9462156648;3019.42712539304;18872.4653059365;-1176.61861698777;23068.5110483174
12;"27.03.2021";10950.42887892;2671.04209341774;19229.8156644222;-1711.80052326985;23612.6582811098
13;"28.03.2021";10954.9115421752;2337.02729642644;19572.795787924;-2225.00505168024;24134.8281360306
14;"29.03.2021";10959.3942054304;2015.75093268517;19903.0374781756;-2718.72782761122;24637.516238472
15;"30.03.2021";10963.8768686856;1705.86822702346;20221.8855103478;-3195.02550720704;25122.7792445783
16;"31.03.2021";10968.3595319408;1406.25536788846;20530.4636959932;-3655.61681192082;25592.3358758024
17;"01.04.2021";10972.842195196;1115.96179572062;20829.7225946714;-4101.95549714718;26047.6398875392
18;"02.04.2021";10977.3248584512;834.174971982577;21120.4747449199;-4535.28423334283;26489.9339502453
19;"03.04.2021";10981.8075217064;560.193856454795;21403.421186958;-4956.67516900259;26920.2902124154
20;"04.04.2021";10986.2901849616;293.40859818219;21679.1717717411;-5367.06099067612;27339.6413605994
21;"05.04.2021";10990.7728482168;33.2847484330414;21948.2609480006;-5767.25906716382;27748.8047635975
22;"06.04.2021";10995.255511472;-220.649177226143;22211.1602001702;-6157.99047168174;28148.5014946258
23;"07.04.2021";10999.7381747272;-468.811617213103;22468.2879666676;-6539.89515056568;28539.3715000202
24;"08.04.2021";11004.2208379824;-711.575959667083;22720.017635632;-6913.54415169609;28921.985827661
25;"09.04.2021";11008.7035012376;-949.277052389072;22966.6840548644;-7279.44958059247;29296.8565830678
26;"10.04.2021";11013.1861644929;-1182.21655110727;23208.588880093;-7638.07277987957;29664.4451088653
27;"11.04.2021";11017.6688277481;-1410.66734980299;23446.0050052991;-7989.83110488614;30025.1687603822
28;"12.04.2021";11022.1514910033;-1634.87727860688;23679.1802606134;-8335.10357908922;30379.4065610957
29;"13.04.2021";11026.6341542585;-1855.07221203337;23908.3405205503;-8674.23564774846;30727.5039562654
30;"14.04.2021";11031.1168175137;-2071.45869855382;24133.6923335812;-9007.5431994912;31069.7768345185
