"h";"date";"prediction";"lower80%";"upper80%";"lower95%";"upper95%"
1;"16.03.2021";16194.2306218623;10926.3222773908;21462.1389663339;8137.66005020954;24250.8011935152
2;"17.03.2021";29732.6254091935;18127.5285147833;41337.7223036037;11984.1613117104;47481.0895066766
3;"18.03.2021";31760.9476731711;17553.835024297;45968.0603220453;10033.0438847162;53488.8514616261
4;"19.03.2021";28156.6947904108;14104.2757020912;42209.1138787303;6665.37438687687;49648.0151939447
5;"20.03.2021";28229.9228779547;12784.5316429215;43675.314112988;4608.23541590443;51851.610340005
6;"21.03.2021";22166.3222525824;9035.11037317979;35297.5341319851;2083.8666971895;42248.7778079753
7;"22.03.2021";11263.6855929281;4105.61160308173;18421.7595827744;316.356124519341;22211.0150613368
8;"23.03.2021";16491.1998293788;4457.20721171416;28525.1924470434;-1913.20367257512;34895.6033313327
9;"24.03.2021";30277.8085917012;7017.03044584911;53538.5867375533;-5296.48170138792;65852.0988847903
10;"25.03.2021";32343.2664208338;6279.05358737499;58407.4792542925;-7518.5072388606;72205.0400805281
11;"26.03.2021";28672.8819063234;4509.73356808977;52836.0302445569;-8281.4645041633;65627.22831681
12;"27.03.2021";28747.4026565709;3480.41933007599;54014.3859830657;-9895.11368795036;67389.9190010921
13;"28.03.2021";22572.6117327631;1927.68585435918;43217.537611167;-9001.07774884238;54146.3012143685
14;"29.03.2021";11470.1193586367;575.679707166541;22364.5590101069;-5191.4882759751;28131.7269932486
15;"30.03.2021";16792.9868106743;-511.661309539817;34097.6349308885;-9672.18867865177;43258.1623000004
16;"31.03.2021";30831.8364326289;-1992.71721196201;63656.3900772199;-19368.9862901476;81032.6591554054
17;"01.04.2021";32935.0323664405;-3246.84688968892;69116.91162257;-22400.3767903926;88270.4415232737
18;"02.04.2021";29197.4434092615;-3864.69314510306;62259.579963626;-21366.7310186028;79761.6178371257
19;"03.04.2021";29273.2778638089;-4859.6657206519;63406.2214482697;-22928.5545949978;81475.1103226156
20;"04.04.2021";22985.4927801832;-4586.86507192707;50557.8506322935;-19182.7896455196;65153.7752058861
21;"05.04.2021";11679.9022964105;-2721.73569603813;26081.5402888592;-10345.5023322265;33705.3069250475
22;"06.04.2021";17099.6706079012;-5317.7875834343;39517.1287992367;-17184.8731133486;51384.2143291509
23;"07.04.2021";31394.8540405484;-10813.1115128338;73602.8195939305;-33156.6588048839;95946.3668859807
24;"08.04.2021";33536.4005039128;-12673.0280611312;79745.8290689568;-37134.8219179294;104207.622925755
25;"09.04.2021";29730.5166921369;-12231.2565479421;71692.289932216;-34444.4775017501;93905.510886024
26;"10.04.2021";29807.6862376847;-13264.0397859929;72879.4122613623;-36064.8342507987;95680.2067261681
27;"11.04.2021";23405.07353806;-11202.9579977544;58013.1050738744;-29523.3432417968;76333.4903179168
28;"12.04.2021";11893.0893537204;-6094.30134866963;29880.4800561105;-15616.2508089234;39402.4295163642
29;"13.04.2021";17411.3315586036;-10303.3191349472;45125.9822521544;-24974.5689887413;59797.2321059484
30;"14.04.2021";31967.0089021608;-20010.9817739985;83944.9995783201;-47526.4679527785;111460.4857571
