"h";"date";"prediction"
1;"26.09.2021";916.989601541061
2;"27.09.2021";916.989601541061
3;"28.09.2021";916.989601541061
4;"29.09.2021";916.989601541061
5;"30.09.2021";916.989601541061
6;"01.10.2021";916.989601541061
7;"02.10.2021";916.989601541061
8;"03.10.2021";916.989601541061
9;"04.10.2021";916.989601541061
10;"05.10.2021";916.989601541061
11;"06.10.2021";916.989601541061
12;"07.10.2021";916.989601541061
13;"08.10.2021";916.989601541061
14;"09.10.2021";916.989601541061
15;"10.10.2021";916.989601541061
16;"11.10.2021";916.989601541061
17;"12.10.2021";916.989601541061
18;"13.10.2021";916.989601541061
19;"14.10.2021";916.989601541061
20;"15.10.2021";916.989601541061
21;"16.10.2021";916.989601541061
22;"17.10.2021";916.989601541061
23;"18.10.2021";916.989601541061
24;"19.10.2021";916.989601541061
25;"20.10.2021";916.989601541061
26;"21.10.2021";916.989601541061
27;"22.10.2021";916.989601541061
28;"23.10.2021";916.989601541061
29;"24.10.2021";916.989601541061
30;"25.10.2021";916.989601541061
