"h";"date";"prediction"
1;"06.08.2020";615
2;"07.08.2020";657
3;"08.08.2020";658
4;"09.08.2020";548
5;"10.08.2020";575
6;"11.08.2020";680
7;"12.08.2020";640
8;"13.08.2020";615
9;"14.08.2020";657
10;"15.08.2020";658
11;"16.08.2020";548
12;"17.08.2020";575
13;"18.08.2020";680
14;"19.08.2020";640
15;"20.08.2020";615
16;"21.08.2020";657
17;"22.08.2020";658
18;"23.08.2020";548
19;"24.08.2020";575
20;"25.08.2020";680
21;"26.08.2020";640
22;"27.08.2020";615
23;"28.08.2020";657
24;"29.08.2020";658
25;"30.08.2020";548
26;"31.08.2020";575
27;"01.09.2020";680
28;"02.09.2020";640
29;"03.09.2020";615
30;"04.09.2020";657
