"h";"date";"prediction"
1;"21.10.2020";9331.57205240175
2;"22.10.2020";9372.14410480349
3;"23.10.2020";9412.71615720524
4;"24.10.2020";9453.28820960699
5;"25.10.2020";9493.86026200873
6;"26.10.2020";9534.43231441048
7;"27.10.2020";9575.00436681223
8;"28.10.2020";9615.57641921397
9;"29.10.2020";9656.14847161572
10;"30.10.2020";9696.72052401747
11;"31.10.2020";9737.29257641921
12;"01.11.2020";9777.86462882096
13;"02.11.2020";9818.43668122271
14;"03.11.2020";9859.00873362445
15;"04.11.2020";9899.5807860262
16;"05.11.2020";9940.15283842795
17;"06.11.2020";9980.72489082969
18;"07.11.2020";10021.2969432314
19;"08.11.2020";10061.8689956332
20;"09.11.2020";10102.4410480349
21;"10.11.2020";10143.0131004367
22;"11.11.2020";10183.5851528384
23;"12.11.2020";10224.1572052402
24;"13.11.2020";10264.7292576419
25;"14.11.2020";10305.3013100437
26;"15.11.2020";10345.8733624454
27;"16.11.2020";10386.4454148472
28;"17.11.2020";10427.0174672489
29;"18.11.2020";10467.5895196507
30;"19.11.2020";10508.1615720524
