"h";"date";"prediction"
1;"26.09.2021";917
2;"27.09.2021";917
3;"28.09.2021";917
4;"29.09.2021";917
5;"30.09.2021";917
6;"01.10.2021";917
7;"02.10.2021";917
8;"03.10.2021";917
9;"04.10.2021";917
10;"05.10.2021";917
11;"06.10.2021";917
12;"07.10.2021";917
13;"08.10.2021";917
14;"09.10.2021";917
15;"10.10.2021";917
16;"11.10.2021";917
17;"12.10.2021";917
18;"13.10.2021";917
19;"14.10.2021";917
20;"15.10.2021";917
21;"16.10.2021";917
22;"17.10.2021";917
23;"18.10.2021";917
24;"19.10.2021";917
25;"20.10.2021";917
26;"21.10.2021";917
27;"22.10.2021";917
28;"23.10.2021";917
29;"24.10.2021";917
30;"25.10.2021";917
