"h";"date";"prediction"
1;"06.08.2020";18
2;"07.08.2020";18
3;"08.08.2020";18
4;"09.08.2020";18
5;"10.08.2020";18
6;"11.08.2020";18
7;"12.08.2020";18
8;"13.08.2020";18
9;"14.08.2020";18
10;"15.08.2020";18
11;"16.08.2020";18
12;"17.08.2020";18
13;"18.08.2020";18
14;"19.08.2020";18
15;"20.08.2020";18
16;"21.08.2020";18
17;"22.08.2020";18
18;"23.08.2020";18
19;"24.08.2020";18
20;"25.08.2020";18
21;"26.08.2020";18
22;"27.08.2020";18
23;"28.08.2020";18
24;"29.08.2020";18
25;"30.08.2020";18
26;"31.08.2020";18
27;"01.09.2020";18
28;"02.09.2020";18
29;"03.09.2020";18
30;"04.09.2020";18
