"h";"date";"prediction"
1;"16.03.2021";282
2;"17.03.2021";398
3;"18.03.2021";375
4;"19.03.2021";351
5;"20.03.2021";343
6;"21.03.2021";110
7;"22.03.2021";28
8;"23.03.2021";282
9;"24.03.2021";398
10;"25.03.2021";375
11;"26.03.2021";351
12;"27.03.2021";343
13;"28.03.2021";110
14;"29.03.2021";28
15;"30.03.2021";282
16;"31.03.2021";398
17;"01.04.2021";375
18;"02.04.2021";351
19;"03.04.2021";343
20;"04.04.2021";110
21;"05.04.2021";28
22;"06.04.2021";282
23;"07.04.2021";398
24;"08.04.2021";375
25;"09.04.2021";351
26;"10.04.2021";343
27;"11.04.2021";110
28;"12.04.2021";28
29;"13.04.2021";282
30;"14.04.2021";398
