"h";"date";"prediction"
1;"26.09.2021";20.0351493848858
2;"27.09.2021";20.0702987697715
3;"28.09.2021";20.1054481546573
4;"29.09.2021";20.1405975395431
5;"30.09.2021";20.1757469244288
6;"01.10.2021";20.2108963093146
7;"02.10.2021";20.2460456942004
8;"03.10.2021";20.2811950790861
9;"04.10.2021";20.3163444639719
10;"05.10.2021";20.3514938488576
11;"06.10.2021";20.3866432337434
12;"07.10.2021";20.4217926186292
13;"08.10.2021";20.4569420035149
14;"09.10.2021";20.4920913884007
15;"10.10.2021";20.5272407732865
16;"11.10.2021";20.5623901581722
17;"12.10.2021";20.597539543058
18;"13.10.2021";20.6326889279438
19;"14.10.2021";20.6678383128295
20;"15.10.2021";20.7029876977153
21;"16.10.2021";20.738137082601
22;"17.10.2021";20.7732864674868
23;"18.10.2021";20.8084358523726
24;"19.10.2021";20.8435852372583
25;"20.10.2021";20.8787346221441
26;"21.10.2021";20.9138840070299
27;"22.10.2021";20.9490333919156
28;"23.10.2021";20.9841827768014
29;"24.10.2021";21.0193321616872
30;"25.10.2021";21.0544815465729
