"h";"date";"prediction"
1;"21.10.2020";8682.35083949452
2;"22.10.2020";9544.98699906052
3;"23.10.2020";10598.9355747806
4;"24.10.2020";10747.1840567308
5;"25.10.2020";11074.6470821136
6;"26.10.2020";11213.6886074277
7;"27.10.2020";11092.5103412539
8;"28.10.2020";11031.5681436163
9;"29.10.2020";10816.8831056116
10;"30.10.2020";10236.007985674
11;"31.10.2020";9957.68618376533
12;"01.11.2020";9787.46173874907
13;"02.11.2020";9788.46146602472
14;"03.11.2020";9920.08623247298
15;"04.11.2020";10023.6997149117
16;"05.11.2020";10125.3891014205
17;"06.11.2020";10294.2271799084
18;"07.11.2020";10442.4232375755
19;"08.11.2020";10553.7900464309
20;"09.11.2020";10600.4642482883
21;"10.11.2020";10561.7507271422
22;"11.11.2020";10463.039360433
23;"12.11.2020";10337.1619896723
24;"13.11.2020";10199.0168499147
25;"14.11.2020";10095.6005156313
26;"15.11.2020";10046.0346056509
27;"16.11.2020";10043.4830926038
28;"17.11.2020";10079.2327876047
29;"18.11.2020";10139.5408595453
30;"19.11.2020";10210.8305267048
