"h";"date";"prediction"
1;"06.08.2020";13.3401769649824
2;"07.08.2020";10.3720505467112
3;"08.08.2020";10.5714761719407
4;"09.08.2020";12.0864884433041
5;"10.08.2020";7.81983563428624
6;"11.08.2020";4.51353127358681
7;"12.08.2020";16.5179671488644
8;"13.08.2020";25.5200723362947
9;"14.08.2020";11.9329341534351
10;"15.08.2020";12.224878270398
11;"16.08.2020";14.1596386215536
12;"17.08.2020";8.54028218272882
13;"18.08.2020";7.60571196162668
14;"19.08.2020";19.9617416023752
15;"20.08.2020";24.6216004033817
16;"21.08.2020";14.1987477868582
17;"22.08.2020";11.9002270684071
18;"23.08.2020";16.6935571379653
19;"24.08.2020";10.5669570165773
20;"25.08.2020";6.39344930993815
21;"26.08.2020";14.9878215902881
22;"27.08.2020";23.3888164879877
23;"28.08.2020";17.9332677895827
24;"29.08.2020";10.3082634844389
25;"30.08.2020";14.3623521524843
26;"31.08.2020";8.56982348098377
27;"01.09.2020";4.1582612665448
28;"02.09.2020";13.9362409716451
29;"03.09.2020";23.6508225788338
30;"04.09.2020";20.1125248695616
