"h";"date";"prediction";"lower80%";"upper80%";"lower95%";"upper95%"
1;"21.10.2020";8019.575;6246.67435087777;9792.47564912222;5240.01081939645;10799.1391806035
2;"22.10.2020";8876.325;7103.42435087777;10649.2256491222;6096.76081939646;11655.8891806035
3;"23.10.2020";9086.575;7313.67435087777;10859.4756491222;6307.01081939645;11866.1391806035
4;"24.10.2020";9724.075;7951.17435087777;11496.9756491222;6944.51081939646;12503.6391806035
5;"25.10.2020";9388.59;7612.46882025044;11164.7111797496;6603.9766523274;12173.2033476726
6;"26.10.2020";9194.19;7418.06882025044;10970.3111797496;6409.5766523274;11978.8033476726
7;"27.10.2020";9733.39;7957.26882025044;11509.5111797496;6948.7766523274;12518.0033476726
8;"28.10.2020";10021.905;8173.25946459184;11870.5505354082;7123.58753624519;12920.2224637548
9;"29.10.2020";10878.655;9030.00946459184;12727.3005354082;7980.33753624519;13776.9724637548
10;"30.10.2020";11088.905;9240.25946459184;12937.5505354082;8190.58753624519;13987.2224637548
11;"31.10.2020";11726.405;9877.75946459184;13575.0505354082;8828.08753624519;14624.7224637548
12;"01.11.2020";11390.92;9526.88164656699;13254.958353433;8468.46958460936;14313.3704153906
13;"02.11.2020";11196.52;9332.48164656699;13060.558353433;8274.06958460936;14118.9704153906
14;"03.11.2020";11735.72;9871.68164656699;13599.758353433;8813.26958460936;14658.1704153906
15;"04.11.2020";12024.235;10079.1792713674;13969.2907286326;8974.76506198532;15073.7049380147
16;"05.11.2020";12880.985;10935.9292713674;14826.0407286326;9831.51506198532;15930.4549380147
17;"06.11.2020";13091.235;11146.1792713674;15036.2907286326;10041.7650619853;16140.7049380147
18;"07.11.2020";13728.735;11783.6792713674;15673.7907286326;10679.2650619853;16778.2049380147
19;"08.11.2020";13393.25;11421.928263459;15364.571736541;10302.6000585905;16483.8999414095
20;"09.11.2020";13198.85;11227.528263459;15170.171736541;10108.2000585905;16289.4999414095
21;"10.11.2020";13738.05;11766.728263459;15709.371736541;10647.4000585905;16828.6999414095
22;"11.11.2020";14026.565;11967.3342874852;16085.7957125148;10798.0908432904;17255.0391567096
23;"12.11.2020";14883.315;12824.0842874852;16942.5457125148;11654.8408432904;18111.7891567096
24;"13.11.2020";15093.565;13034.3342874852;17152.7957125148;11865.0908432904;18322.0391567096
25;"14.11.2020";15731.065;13671.8342874852;17790.2957125148;12502.5908432904;18959.5391567096
26;"15.11.2020";15395.58;13300.5817511167;17490.5782488833;12111.0292870729;18680.1307129271
27;"16.11.2020";15201.18;13106.1817511167;17296.1782488833;11916.6292870729;18485.7307129271
28;"17.11.2020";15740.38;13645.3817511167;17835.3782488833;12455.8292870729;19024.9307129271
29;"18.11.2020";16028.895;13840.5032765608;18217.2867234392;12597.9214422812;19459.8685577188
30;"19.11.2020";16885.645;14697.2532765608;19074.0367234392;13454.6714422812;20316.6185577188
