"h";"date";"prediction";"lower80%";"upper80%";"lower95%";"upper95%"
1;"06.08.2020";13.321892393321;2.21254797578032;24.4312368108616;-3.73286724730004;30.376652033942
2;"07.08.2020";12.8673469387755;1.75800252123487;23.9766913563162;-4.18741270184548;29.9221065793965
3;"08.08.2020";10.4128014842301;-0.696542933310583;21.5221459017707;-6.64195815639094;27.4675611248511
4;"09.08.2020";8.4582560296846;-2.65108838785604;19.5676004472252;-8.5965036109364;25.5130156703056
5;"10.08.2020";9.36734693877551;-1.74199747876513;20.4766913563161;-7.68741270184549;26.4221065793965
6;"11.08.2020";14.321892393321;3.21254797578032;25.4312368108616;-2.73286724730004;31.376652033942
7;"12.08.2020";15.5491651205937;4.43982070305305;26.6585095381343;-1.50559452002731;32.6039247612147
8;"13.08.2020";13.3775510204082;2.24806423790995;24.5070378029064;-3.70813062425141;30.4632326650677
9;"14.08.2020";12.9230055658627;1.7935187833645;24.0524923483609;-4.16267607879686;30.0086872105223
10;"15.08.2020";10.4684601113173;-0.661026671180958;21.5979468938155;-6.61722153334231;27.5541417559768
11;"16.08.2020";8.5139146567718;-2.61557212572641;19.64340143927;-8.57176698788777;25.5995963014314
12;"17.08.2020";9.42300556586271;-1.7064812166355;20.5524923483609;-7.66267607879686;26.5086872105223
13;"18.08.2020";14.3775510204082;3.24806423790995;25.5070378029064;-2.70813062425141;31.4632326650677
14;"19.08.2020";15.6048237476809;4.47533696518268;26.7343105301791;-1.48085789697868;32.6905053923405
15;"20.08.2020";13.4332096474954;2.28194302658699;24.5844762684037;-3.68590780535739;30.5523271003481
16;"21.08.2020";12.9786641929499;1.82739757204154;24.1299308138583;-4.14045325990284;30.0977816458027
17;"22.08.2020";10.5241187384045;-0.62714788250392;21.6753853593128;-6.59499871444829;27.6432361912572
18;"23.08.2020";8.569573283859;-2.58169333704938;19.7208399047674;-8.54954416899375;25.6886907367117
19;"24.08.2020";9.47866419294991;-1.67260242795847;20.6299308138583;-7.64045325990284;26.5977816458026
20;"25.08.2020";14.4332096474954;3.28194302658699;25.5844762684037;-2.68590780535739;31.5523271003481
21;"26.08.2020";15.6604823747681;4.50921575385972;26.8117489956765;-1.45863507808465;32.7795998276208
22;"27.08.2020";13.4888682745826;2.31419391628962;24.6635426328755;-3.66618409214272;30.6439206413078
23;"28.08.2020";13.0343228200371;1.85964846174417;24.20899717833;-4.12072954668816;30.1893751867624
24;"29.08.2020";10.5797773654917;-0.594896992801287;21.7544517237846;-6.57527500123362;27.7348297322169
25;"30.08.2020";8.62523191094619;-2.54944244734674;19.7999062692391;-8.52982045577908;25.7802842776715
26;"31.08.2020";9.5343228200371;-1.64035153825584;20.70899717833;-7.62072954668817;26.6893751867624
27;"01.09.2020";14.4888682745826;3.31419391628962;25.6635426328755;-2.66618409214272;31.6439206413078
28;"02.09.2020";15.7161410018553;4.54146664356235;26.8908153601482;-1.43891136486998;32.8711933685806
29;"03.09.2020";13.5445269016698;2.34482711409884;24.7442266892407;-3.64894381497771;30.7379976183172
30;"04.09.2020";13.0899814471243;1.89028165955339;24.2896812346952;-4.10348926952316;30.2834521637718
