h;date;prediction
1;06.08.2020;517,0692365
2;07.08.2020;543,203349
3;08.08.2020;523,4365861
4;09.08.2020;483,139433
5;10.08.2020;456,9762395
6;11.08.2020;506,2456734
7;12.08.2020;515,3318355
8;13.08.2020;530,5715956
9;14.08.2020;537,7702863
10;15.08.2020;530,1285953
11;16.08.2020;489,7872909
12;17.08.2020;474,634347
13;18.08.2020;519,2347728
14;19.08.2020;568,4655743
15;20.08.2020;555,040053
16;21.08.2020;581,5273764
17;22.08.2020;563,4494038
18;23.08.2020;533,8644785
19;24.08.2020;521,8849148
20;25.08.2020;555,9166048
21;26.08.2020;596,7144933
22;27.08.2020;597,2573638
23;28.08.2020;587,2590932
24;29.08.2020;569,6998992
25;30.08.2020;557,8638275
26;31.08.2020;525,6684521
27;01.09.2020;623,0352922
28;02.09.2020;653,2202935
29;03.09.2020;555,128988
30;04.09.2020;596,6222607
