"h";"date";"prediction"
1;"21.10.2020";8347.34631478743
2;"22.10.2020";7458.99782135478
3;"23.10.2020";9896.25193563389
4;"24.10.2020";9218.71673788578
5;"25.10.2020";9193.70012107274
6;"26.10.2020";9489.50453274227
7;"27.10.2020";10901.5233132182
8;"28.10.2020";9055.8696181449
9;"29.10.2020";10685.9775745805
10;"30.10.2020";12851.5462615392
11;"31.10.2020";10413.8819974031
12;"01.11.2020";9161.52799588317
13;"02.11.2020";12243.1812870186
14;"03.11.2020";11374.5450272053
15;"04.11.2020";10869.3798711067
16;"05.11.2020";11082.03197225
17;"06.11.2020";14119.3858396513
18;"07.11.2020";12004.9229755105
19;"08.11.2020";11374.9003224634
20;"09.11.2020";9452.60480352023
21;"10.11.2020";10188.4764426398
22;"11.11.2020";8960.40113427476
23;"12.11.2020";10083.015431325
24;"13.11.2020";10738.9821332962
25;"14.11.2020";10874.2033973009
26;"15.11.2020";9674.13197519199
27;"16.11.2020";8686.63671040971
28;"17.11.2020";8752.95402610458
29;"18.11.2020";10047.9348080252
30;"19.11.2020";10714.2647756704
