"h";"date";"prediction"
1;"21.10.2020";86.0714285714286
2;"22.10.2020";82.2142857142857
3;"23.10.2020";83.0714285714286
4;"24.10.2020";79.0714285714286
5;"25.10.2020";64.5
6;"26.10.2020";68.9732142857143
7;"27.10.2020";92.2232142857143
8;"28.10.2020";97.2321428571429
9;"29.10.2020";93.375
10;"30.10.2020";94.2321428571429
11;"31.10.2020";90.2321428571429
12;"01.11.2020";75.6607142857143
13;"02.11.2020";80.1339285714286
14;"03.11.2020";103.383928571429
15;"04.11.2020";108.392857142857
16;"05.11.2020";104.535714285714
17;"06.11.2020";105.392857142857
18;"07.11.2020";101.392857142857
19;"08.11.2020";86.8214285714286
20;"09.11.2020";91.2946428571429
21;"10.11.2020";114.544642857143
22;"11.11.2020";119.553571428571
23;"12.11.2020";115.696428571429
24;"13.11.2020";116.553571428571
25;"14.11.2020";112.553571428571
26;"15.11.2020";97.9821428571429
27;"16.11.2020";102.455357142857
28;"17.11.2020";125.705357142857
29;"18.11.2020";130.714285714286
30;"19.11.2020";126.857142857143
